Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Costa Rica,1.6982,0.1529,18.677,0.0007,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0.0,0.0397,1.4363,2.9837,31.3238,25.7,4.8,0.46707102328311495,0.00477401682645275,0.153062023087458,0.309234983369204,5111000.0,%
Cote d'Ivoire,1.4487,0.0132,2.9144,0.0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308000000000003,0.0759,0.7859,0.0,0.5443,0.8656,2.8098,47.0806,9.0,19,0.0641757402101242,0.000401146131805158,0.0498643744030563,0.0139102196752627,26175000.0,%
Croatia,4.9846,0.2296,17.311,0.0005,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0.0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0.0,0.0761,0.3808,12.5188,32.6838,27.1,2,0.140522388059702,0.0039303482587064705,0.122039800995025,0.0145522388059702,4020000.0,%
Cuba,2.0589,0.1202,10.0096,0.0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0.0,0.0006,0.4535,8.374,39.9895,26.7,2,0.0270011523801081,0.000780072688591437,0.0218065774310788,0.0044145022604379,11281000.0,%
Cyprus,3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.1979999999999995,5.3167,8.2744,1.4858,0.1584,0.4089,0.21100000000000002,0.0307,1.7705,0.2387,4.2194,0.0,0.1781,1.1937,7.3888,33.8191,22.6,5.6,0.10372825186412599,0.00157415078707539,0.07207953603976801,0.0300745650372825,1207000.0,%
Czechia,9.8498,0.8945,17.8065,0.0006,5.6937,0.4964,0.5355,3.3962,4.7618,10.982999999999999,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0.0,0.0477,0.9854,4.5289,32.1944,28.5,2,0.17258305337812602,0.0036394176931690897,0.12115528182157499,0.0477883538633819,10716000.0,%
Denmark,4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0.0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0.0,0.1138,0.0915,5.2431,26.7812,21.3,2,0.25965002573340196,0.0106364728083719,0.22566477955052303,0.0233487733745068,5829000.0,%
Dominica,0.941,0.0319,8.9011,0.0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0.0,0.0035,0.3797,4.6371,41.0989,28.2,6.2,0.025,0.0,0.025,0.0,72000.0,%
Egypt,0.0722,0.0896,6.7374,0.0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,4.5,0.0949039215102725,0.0049948910250687,0.0533505947243634,0.0365584357608404,100803000.0,%
El Salvador,2.1651,0.1113,12.888,0.0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.5920000000000001,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.5260000000000002,0.0,0.0155,0.4565,7.2703,37.1029,22.7,9,0.32204906650208304,0.008686931029162171,0.149976855423546,0.163385280049375,6481000.0,%
Estonia,6.1949,0.4556,22.3154,0.0005,6.3498,0.6145,0.7127,3.5061,3.0810000000000004,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0.0,0.0886,0.3472,4.9558,27.6779,23.8,2.9,0.16213373403456,0.0047332832456799395,0.14740796393689,0.00999248685199098,1331000.0,%
Eswatini,6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0.0,0.0892,0.3258,2.5701,42.5816,13.5,20.6,0.299728260869565,0.00552536231884058,0.14800724637681198,0.146195652173913,1104000.0,%
